ADMIN,oPos,aPos,bPos,abPos,oNeg,aNeg,bNeg,abNeg
Albania,34.1,31.2,14.5,5.2,6,5.5,2.6,0.9
Algeria,40,30,15,4.25,6,2.3,1.1,0.75
Austria,30,37,12,5,6,7,2,0.45
Belgium,36,37,9,3,6,7,1,1
Bosnia and Herzegovina,31,36,12,6,5,7,2,1
Bulgaria,28,37.4,12.8,6.8,5,6.6,2.2,1.2
Burkina Faso,39.94,20.79,26.34,5.17,3,1.75,2.22,0.43
Cameroon,46.83,24.15,21.06,4.29,1,0.92,0.8,0.16
Croatia,29,36,15,5,5,6,3,1
Czechia,27,36,15,7,5,6,3,1
Egypt,52,24,12.4,3.8,5,2,0.6,0.2
Ethiopia,39,28,21,5,3,2,1,1
France,36.5,38.2,7.7,2.5,6,6.8,1.4,0.4
Gabon,57.55,20.52,17.19,2.54,1,0.48,0.41,0.06
Germany,35,37,9,4,6,6,2,1
Ghana,53.8,17.6,18.3,2.8,4,1.3,1.3,0.2
Greece,37.8,32.2,11,4,6,5.7,2,0.7
Guinea,46.88,21.64,22.86,4.52,2,0.9,1,0.2
Hungary,27,33,16,8,5,7,3,1
Ireland,47,26,9,2,8,5,2,1
Italy,39,36,7.5,2.5,7,6,1.5,0.5
Ivory Coast,47.24,20.19,21.7,3.82,3,1.54,1.48,0.3
Kenya,45.6,25.2,21.28,4.2,1,1,0.9,0.02
Libya,42.64,28.86,11.19,4.5,6,4.24,1.64,0.67
Mauritania,46.3,26.68,17.47,3.85,2,1.6,1.1,0.2
Morocco,42.3,29.8,14.3,4.1,4,3.1,1.5,0.4
Namibia,50.58,20.49,20.21,1.02,4,1.71,1.69,0.08
Netherlands,39.5,35,6.7,2.5,7,7,1.3,0.5
Nigeria,50.23,21.61,19.59,3.47,2,1.16,1.05,0.19
North Macedonia,30,34,15,6,5,6,3,1
Poland,31,32,15,7,6,6,2,1
Portugal,36.2,39.8,6.6,2.9,6,6.8,1.1,0.5
Romania,28,37,14,7,5,6,2,1
Russia,29.92,31.19,17.17,6.72,5,5.51,3.03,1.18
Slovakia,27.2,35.7,15.3,6.8,4,6.3,2.7,1.2
Slovenia,31,33,12,6,7,7,3,1
Somalia,52.8,19.36,12.32,3.52,7,2.64,1.68,0.48
South Africa,39,32,12,3,6,5,2,1
Spain,35,36,8,2.5,9,7,2,0.5
Sudan,48,27.7,15.2,2.8,3,1.8,0.8,0.2
Switzerland,35,38,8,4,6,7,1,1
Syria,43,30,14,3.7,5,3,1,0.3
Uganda,49.29,24.11,20.29,4.41,1,0.49,0.41,0.09
Ukraine,32,34,15,5,5,6,2,1
United Kingdom,44,28,8,2,9,6,2,1
Zimbabwe,63.3,18.5,14.6,0.99,1,0.5,0.4,0.01
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
